ts,lst,intrinsic_sol,dex_price_sol,disc_pct,dex,pool_liq_usd,net_after_costs_pct,actionable
2026-07-08T20:57:40.846480+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6203938,-1.1745,0
2026-07-08T20:57:40.846480+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1391915,-1.1336,0
2026-07-08T20:57:40.846480+00:00,bSOL,1.290721,1.3028,-0.9358,orca,464227,-1.1358,0
2026-07-08T20:57:40.846480+00:00,INF,1.407837,1.4341,-1.8655,meteora,245272,-2.0655,0
2026-07-08T20:57:40.846480+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158747,-1.2013,0
2026-07-08T20:57:40.846480+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,487,-1.0815,0
2026-07-08T20:57:40.846480+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T21:15:26.223245+00:00,jitoSOL,1.275866,1.2882,-0.9667,orca,6191854,-1.1667,0
2026-07-08T21:15:26.223245+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1390291,-1.1336,0
2026-07-08T21:15:26.223245+00:00,bSOL,1.290721,1.3028,-0.9358,orca,463204,-1.1358,0
2026-07-08T21:15:26.223245+00:00,INF,1.407837,1.4341,-1.8655,meteora,244478,-2.0655,0
2026-07-08T21:15:26.223245+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158747,-1.2013,0
2026-07-08T21:15:26.223245+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,486,-1.0815,0
2026-07-08T21:15:26.223245+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T21:30:50.299412+00:00,jitoSOL,1.275866,1.288,-0.951,orca,6202736,-1.151,0
2026-07-08T21:30:50.299412+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1391196,-1.1336,0
2026-07-08T21:30:50.299412+00:00,bSOL,1.290721,1.3025,-0.9126,orca,464022,-1.1126,0
2026-07-08T21:30:50.299412+00:00,INF,1.407837,1.4312,-1.6595,meteora,244165,-1.8595,0
2026-07-08T21:30:50.299412+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158747,-1.2013,0
2026-07-08T21:30:50.299412+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,486,-1.0815,0
2026-07-08T21:30:50.299412+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T21:45:32.824173+00:00,jitoSOL,1.275866,1.288,-0.951,orca,6202736,-1.151,0
2026-07-08T21:45:32.824173+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1394809,-1.1336,0
2026-07-08T21:45:32.824173+00:00,bSOL,1.290721,1.3025,-0.9126,orca,464504,-1.1126,0
2026-07-08T21:45:32.824173+00:00,INF,1.407837,1.4312,-1.6595,meteora,244165,-1.8595,0
2026-07-08T21:45:32.824173+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158747,-1.2013,0
2026-07-08T21:45:32.824173+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,486,-1.0815,0
2026-07-08T21:45:32.824173+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T22:01:01.846806+00:00,jitoSOL,1.275866,1.2882,-0.9667,orca,6219202,-1.1667,0
2026-07-08T22:01:01.846806+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1395352,-1.1336,0
2026-07-08T22:01:01.846806+00:00,bSOL,1.290721,1.3025,-0.9126,orca,464444,-1.1126,0
2026-07-08T22:01:01.846806+00:00,INF,1.407837,1.4341,-1.8655,meteora,245335,-2.0655,0
2026-07-08T22:01:01.846806+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158747,-1.2013,0
2026-07-08T22:01:01.846806+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,486,-1.0815,0
2026-07-08T22:01:01.846806+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T22:14:06.942852+00:00,jitoSOL,1.275866,1.2882,-0.9667,orca,6220006,-1.1667,0
2026-07-08T22:14:06.942852+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1395352,-1.1336,0
2026-07-08T22:14:06.942852+00:00,bSOL,1.290721,1.3028,-0.9358,orca,465310,-1.1358,0
2026-07-08T22:14:06.942852+00:00,INF,1.407837,1.4341,-1.8655,meteora,245335,-2.0655,0
2026-07-08T22:14:06.942852+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158378,-1.2013,0
2026-07-08T22:14:06.942852+00:00,bnSOL,1.110411,1.1202,-0.8815,meteora,486,-1.0815,0
2026-07-08T22:14:06.942852+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-08T22:30:51.963171+00:00,jitoSOL,1.275866,1.288,-0.951,orca,6218018,-1.151,0
2026-07-08T22:30:51.963171+00:00,mSOL,1.376648,1.3895,-0.9336,meteora,1395352,-1.1336,0
2026-07-08T22:30:51.963171+00:00,bSOL,1.290721,1.3028,-0.9358,orca,465191,-1.1358,0
2026-07-08T22:30:51.963171+00:00,INF,1.407837,1.4341,-1.8655,meteora,245335,-2.0655,0
2026-07-08T22:30:51.963171+00:00,jupSOL,1.183945,1.1958,-1.0013,orca,158235,-1.2013,0
2026-07-08T22:30:51.963171+00:00,bnSOL,1.110411,1.1205,-0.9085,meteora,488,-1.1085,0
